drug,n_train,n_calib,n_test,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95
17-AAG (Tanespimycin),188,63,63,0.7143,109.0212,0.8571,162.5131,0.9365,190.5959
A-674563,194,65,65,0.8923,153.7444,0.9538,203.6387,0.9692,231.3628
ABT-737,145,48,49,0.898,159.6756,0.9592,213.8632,0.9796,281.405
AT7519,186,62,62,0.9194,123.8672,0.9355,144.6756,0.9677,198.6403
AZD1480,189,63,64,0.8125,111.1363,0.9219,144.1416,0.9375,180.101
Afatinib (BIBW-2992),192,64,65,0.8769,116.7354,0.9231,143.5147,0.9846,204.1307
Alisertib (MLN8237),192,64,65,0.8308,115.5867,0.9077,150.2459,0.9692,185.7455
Axitinib (AG-013736),204,68,68,0.8529,124.3476,0.9412,169.672,0.9559,179.9034
BEZ235,189,63,63,0.7778,146.2528,0.7778,165.3017,0.9206,199.5879
BI-2536,66,22,23,0.913,117.8449,1.0,232.4231,1.0,243.403
BMS-345541,193,64,65,0.8462,96.7071,0.8923,105.5311,0.9846,136.084
Barasertib (AZD1152-HQPA),190,64,64,0.9375,143.7329,0.9531,180.6115,0.9531,246.6341
Bay 11-7085,124,41,42,0.6905,85.2509,0.7619,102.6808,0.9286,144.4499
Bortezomib (Velcade),195,65,66,0.8939,176.4309,0.9394,237.3941,0.9848,256.7434
Bosutinib (SKI-606),192,64,64,0.7344,108.6366,0.9531,184.476,0.9531,190.6511
CHIR-99021,189,63,64,0.8594,80.4843,0.8906,99.2321,0.9062,105.9981
CI-1040 (PD184352),192,64,65,0.7538,111.7289,0.8462,144.2882,0.8615,154.7087
CYT387,190,64,64,0.8438,132.2709,0.9688,194.9917,0.9844,226.8236
Cabozantinib,187,63,63,0.8889,175.6854,0.9206,212.5473,0.9524,259.3472
Canertinib (CI-1033),190,64,64,0.8438,103.3006,0.9844,146.4139,1.0,185.2805
Cediranib (AZD2171),190,64,64,0.8125,94.0588,0.9375,122.4045,0.9844,249.2712
Crenolanib,186,62,63,0.9048,121.0917,0.9365,128.695,0.9524,194.2567
Crizotinib (PF-2341066),208,69,70,0.8429,102.3232,0.9429,145.9622,0.9571,166.0483
DBZ,137,46,46,0.6522,101.0698,0.8696,143.7432,1.0,249.8346
Dasatinib,208,69,70,0.6857,124.2836,0.9286,194.3159,0.9857,262.4678
Doramapimod (BIRB 796),190,64,64,0.8594,168.1457,0.9219,220.0805,0.9844,245.1299
Dovitinib (CHIR-258),191,64,64,0.9062,153.4588,0.9844,190.8996,0.9844,198.3716
Elesclomol,179,60,60,0.7833,119.5392,0.8667,156.8661,0.9333,185.7771
Entospletinib (GS-9973),105,35,35,0.7143,130.9201,0.9714,189.2787,1.0,224.0079
Entrectinib,45,15,15,0.7333,120.9206,0.9333,200.4697,,
Erlotinib,205,69,69,0.8551,87.9687,0.971,110.0684,0.971,129.8458
Flavopiridol,190,64,64,0.7656,140.96,0.9219,198.7087,0.9688,237.1844
Foretinib (XL880),190,63,64,0.8906,145.5499,0.9844,183.0722,1.0,244.815
GDC-0879,189,63,63,0.7619,59.0131,0.9206,78.8828,0.9524,111.0846
GDC-0941,177,59,60,0.9,125.1106,0.95,156.4324,1.0,230.5636
GSK-1838705A,189,63,64,0.7969,109.8914,0.9531,144.1243,0.9844,190.348
GSK-1904529A,187,63,63,0.7302,101.1457,0.8889,131.6754,0.9524,154.61
GSK690693,187,62,63,0.9365,128.9203,0.9683,171.7371,0.9841,186.9312
GW-2580,184,62,62,0.7419,91.6908,0.8065,111.434,0.8548,126.8992
Gefitinib,204,68,68,0.8529,96.4444,0.8971,117.9447,0.9706,156.3996
Gilteritinib (ASP-2215),82,27,28,0.8571,158.4776,0.9643,229.4914,1.0,243.865
Go6976,52,17,18,0.8889,136.6896,0.8889,197.8048,,
INK-128,193,64,65,0.8615,169.4992,0.9077,184.5088,0.9385,237.1802
Ibrutinib (PCI-32765),173,58,58,0.7759,112.4772,0.9655,196.5924,0.9828,240.1162
Idelalisib,187,62,63,0.6984,128.8877,0.8254,167.3352,0.9365,211.2752
Imatinib,213,71,72,0.75,101.48,0.8611,149.0269,0.9444,183.7034
JAK Inhibitor I,191,64,64,0.8125,135.3403,0.9219,190.2247,0.9844,238.2403
JNJ-28312141,184,61,62,0.7581,153.1159,0.9032,198.3862,1.0,250.3431
JNJ-38877605,190,63,64,0.9688,116.8092,1.0,165.0695,1.0,209.4891
JNJ-7706621,193,65,65,0.8615,96.1386,0.9538,130.5901,0.9692,152.1228
JQ1,126,42,42,0.9048,122.2718,0.9762,183.5163,0.9762,223.0633
KI20227,189,63,63,0.873,171.2487,0.8889,185.7516,0.9524,229.7849
KU-55933,189,63,64,0.8906,128.1464,0.9688,178.705,1.0,206.834
KW-2449,189,63,64,0.8594,130.0899,0.8906,147.5853,0.9062,168.0957
LY-333531,193,65,65,0.7692,87.3846,0.9231,115.4213,0.9846,164.2237
Lapatinib,203,68,68,0.7059,68.5616,0.8382,95.5868,0.9412,187.1715
Lenalidomide,73,24,25,0.4,83.5756,0.6,106.4995,0.6,108.9271
Lenvatinib,123,41,42,0.8571,124.2635,0.9286,152.9715,0.9762,214.4279
Lestaurtinib (CEP-701),50,17,17,0.8824,161.5348,1.0,262.271,,
Linifanib (ABT-869),190,64,64,0.8125,148.1001,0.875,196.6685,0.9531,260.1792
Lovastatin,73,25,25,0.92,197.4828,0.96,254.1648,1.0,269.0896
MGCD-265,187,62,63,0.7619,128.2648,0.8889,181.0984,0.9524,255.939
MK-2206,187,63,63,0.8571,170.4102,0.873,196.374,0.873,203.6861
MLN120B,188,63,63,0.746,113.3229,0.8889,146.5681,0.9365,161.1991
MLN8054,190,63,64,0.875,90.205,0.9531,114.3989,0.9688,144.6099
Masitinib (AB-1010),187,63,63,0.746,122.9487,0.8254,136.2459,0.9841,204.4951
Midostaurin,187,62,63,0.8254,164.4165,0.9048,183.4702,0.9048,200.7061
Motesanib (AMG-706),189,63,64,0.8906,141.9573,0.9219,172.3164,0.9531,191.7081
NF-kB Activation Inhibitor,185,62,62,0.8548,142.8098,0.9355,188.8173,0.9839,234.5459
NVP-ADW742,184,61,62,0.8226,109.6518,0.9516,156.4641,0.9839,181.3558
NVP-TAE684,190,63,64,0.9531,150.1147,0.9531,177.4484,0.9688,223.6763
Neratinib (HKI-272),191,64,64,0.7344,106.6056,0.9531,164.7699,0.9531,192.2335
Nilotinib,203,68,68,0.7059,100.5574,0.8824,133.7691,0.9265,147.9904
Nutlin 3a,113,38,38,0.6579,62.3216,0.7105,77.5268,0.8684,108.2282
PD173955,193,65,65,0.8615,146.9302,0.9385,198.9964,1.0,282.9889
PHA-665752,192,64,64,0.7656,99.3321,0.8906,165.9844,0.9531,203.5762
PHT-427,186,62,62,0.9355,119.2533,0.9516,137.2891,0.9839,168.1683
PI-103,191,64,64,0.7344,134.6531,0.875,175.7446,0.9688,225.7996
PLX-4720,53,18,18,0.9444,106.5472,0.9444,160.4717,,
PP242,191,64,64,0.7188,117.7432,0.75,128.9401,0.8906,195.7106
PRT062607,189,63,63,0.8095,115.5342,0.873,158.2441,0.9683,204.7306
Palbociclib,92,31,31,0.871,103.2487,1.0,135.7465,1.0,184.2871
Panobinostat,90,30,31,0.871,177.9525,0.871,260.284,0.9677,393.4381
Pazopanib (GW786034),203,68,68,0.8382,114.2042,0.9412,143.3627,1.0,209.4545
Pelitinib (EKB-569),190,63,64,0.8281,103.0094,0.8906,131.905,0.9844,188.9878
Ponatinib (AP24534),193,65,65,0.8769,159.2428,0.9385,186.167,0.9692,209.475
Quizartinib (AC220),187,63,63,0.8413,136.4247,0.8889,154.189,0.9365,189.8221
RAF265 (CHIR-265),187,63,63,0.8254,143.3736,0.9365,186.4641,0.9524,221.7267
Rapamycin,202,68,68,0.4853,105.5878,0.7206,142.1779,0.8824,198.7067
Regorafenib (BAY 73-4506),189,63,63,0.8413,109.9788,0.9048,127.2225,0.9524,159.3939
Roscovitine (CYC-202),193,65,65,0.8769,89.743,0.9385,123.2913,1.0,214.2247
Ruxolitinib (INCB018424),198,66,67,0.8507,91.1728,0.8657,102.5186,0.9104,133.9643
S31-201,186,62,63,0.8254,135.4745,0.9206,192.9459,0.9683,260.9731
SB-431542,192,64,65,0.7538,116.347,0.9385,179.2849,0.9538,202.2083
SGX-523,189,63,63,0.873,111.688,0.8889,118.7422,0.9683,149.525
SNS-032 (BMS-387032),192,64,65,0.8769,108.6319,0.9692,157.5184,0.9846,199.128
SR9011,75,25,25,0.72,118.1164,0.92,206.3558,0.96,244.5352
STO609,192,64,64,0.7812,71.0609,0.8594,83.2236,0.9062,111.0545
SU11274,186,62,63,0.7937,103.6606,0.9048,131.8485,0.9524,164.5891
Saracatinib (AZD0530),188,63,63,0.9048,133.0077,0.9524,149.5751,0.9683,177.7773
Selinexor,57,19,20,0.8,148.9315,0.9,226.3431,,
Selumetinib (AZD6244),190,64,64,0.7656,144.5188,0.8125,174.4645,0.8906,211.3123
Sorafenib,211,70,71,0.7465,103.0552,0.8732,139.0577,0.9577,165.0274
Staurosporine,54,18,18,0.6667,152.8171,0.8889,215.1168,,
Sunitinib,209,70,70,0.7143,110.6325,0.8714,157.3055,0.9,174.6712
TG100-115,187,62,63,0.8889,102.163,0.9683,145.4644,0.9683,161.0341
TG101348,52,17,18,0.7778,91.611,0.8889,140.4502,,
Tandutinib (MLN518),51,17,17,0.7647,135.7421,1.0,269.0634,,
Tivozanib (AV-951),189,63,63,0.8571,173.1356,0.9365,213.6036,0.9683,262.5079
Tofacitinib (CP-690550),192,64,65,0.8154,115.2608,0.9231,146.2063,0.9385,176.1056
Tozasertib (VX-680),192,64,64,0.8281,107.91,0.9062,123.8242,0.9531,194.4137
Trametinib (GSK1120212),200,67,67,0.8657,181.2974,0.9254,203.9106,0.9254,233.8868
VX-745,192,64,65,0.9231,166.1461,0.9385,186.4273,0.9846,241.3135
Vandetanib (ZD6474),205,69,69,0.7681,115.062,0.8841,134.5098,1.0,267.975
Vargetef,189,63,63,0.7302,118.906,0.7778,137.6319,0.9365,188.3764
Vatalanib (PTK787),190,63,64,0.8281,124.745,0.8594,131.7283,0.9844,193.0052
Vemurafenib (PLX-4032),135,45,45,0.8889,98.3054,0.9111,134.3342,0.9778,150.5521
Venetoclax,129,43,44,0.8182,153.3837,0.9091,272.1114,0.9773,341.4964
Vismodegib (GDC-0449),188,63,63,0.7778,77.2757,0.9048,99.0442,0.9365,143.1929
Volasertib (BI-6727),125,42,42,0.7381,106.4309,0.8333,123.0766,0.9048,163.1434
XAV-939,187,63,63,0.873,125.9646,0.9048,141.9308,0.9206,159.7434
YM-155,193,65,65,0.7385,80.8716,0.8923,107.7115,0.9077,120.4438
